step,action,reward,done,agent_x,agent_y,agent_z,agent_energy,altitude,steps_so_far,energy,total_nectar_collected,flowers_found_this_episode,last_flower_visited,nearest_flower_distance
44,3,-0.061550000000000014,False,2.0,5.0,6.0,76.9000015258789,6.0,45,76.89999999999998,30.0,0,-1,2.521493434906006
45,1,-0.062050000000000015,False,2.0,6.0,6.0,75.9000015258789,6.0,46,75.89999999999998,30.0,0,-1,3.308354377746582
46,2,-0.06255000000000002,False,1.0,6.0,6.0,74.9000015258789,6.0,47,74.89999999999998,30.0,0,-1,3.4579362869262695
47,1,-0.06305000000000002,False,1.0,7.0,6.0,73.9000015258789,6.0,48,73.89999999999998,30.0,0,-1,3.876845359802246
48,1,-0.06355000000000002,False,1.0,8.0,6.0,72.9000015258789,6.0,49,72.89999999999998,30.0,0,-1,4.169249534606934
49,0,-0.06405000000000002,False,1.0,7.0,6.0,71.9000015258789,6.0,50,71.89999999999998,30.0,0,-1,3.876845359802246
50,5,-0.06440000000000001,False,1.0,7.0,5.0,71.19999694824219,5.0,51,71.19999999999997,30.0,0,-1,3.168349504470825
51,3,-0.06490000000000001,False,2.0,7.0,5.0,70.19999694824219,5.0,52,70.19999999999997,30.0,0,-1,2.5112602710723877
52,0,-0.06540000000000001,False,2.0,6.0,5.0,69.19999694824219,5.0,53,69.19999999999997,30.0,0,-1,2.4400241374969482
53,2,-0.06590000000000001,False,1.0,6.0,5.0,68.19999694824219,5.0,54,68.19999999999997,30.0,0,-1,3.1121902465820312
54,3,-0.06640000000000001,False,2.0,6.0,5.0,67.19999694824219,5.0,55,67.19999999999997,30.0,0,-1,2.4400241374969482
55,0,-0.06690000000000002,False,2.0,5.0,5.0,66.19999694824219,5.0,56,66.19999999999997,30.0,0,-1,2.7569923400878906
56,0,-0.06740000000000002,False,2.0,4.0,5.0,65.19999694824219,5.0,57,65.19999999999997,30.0,0,-1,1.9610722064971924
57,4,-0.06810000000000002,False,2.0,4.0,6.0,63.79999923706055,6.0,58,63.799999999999976,30.0,0,-1,1.5779926776885986
58,1,-0.06860000000000002,False,2.0,5.0,6.0,62.79999923706055,6.0,59,62.799999999999976,30.0,0,-1,2.521493434906006
59,4,-0.06930000000000001,False,2.0,5.0,7.0,61.400001525878906,7.0,60,61.39999999999998,30.0,0,-1,2.6461641788482666
60,0,-0.06980000000000001,False,2.0,4.0,7.0,60.400001525878906,7.0,61,60.39999999999998,30.0,0,-1,1.7704004049301147
61,5,-0.07015000000000002,False,2.0,4.0,6.0,59.70000076293945,6.0,62,59.699999999999974,30.0,0,-1,1.5779926776885986
62,0,29.94335,False,2.0,3.0,6.0,86.69999694824219,6.0,63,86.69999999999997,45.0,0,-1,0.788792073726654
63,6,29.948999999999998,False,2.0,3.0,6.0,98.0,6.0,64,98.0,60.0,0,-1,0.788792073726654
64,2,29.948999999999998,False,1.0,3.0,6.0,98.0,6.0,65,98.0,60.599998474121094,0,-1,0.5947436690330505
65,5,-0.05135000000000001,False,1.0,3.0,5.0,97.30000305175781,5.0,66,97.3,60.599998474121094,0,-1,1.3074644804000854
66,3,-0.05185000000000001,False,2.0,3.0,5.0,96.30000305175781,5.0,67,96.3,60.599998474121094,0,-1,1.4063912630081177
67,2,-0.05235000000000001,False,1.0,3.0,5.0,95.30000305175781,5.0,68,95.3,60.599998474121094,0,-1,1.3074644804000854
68,3,-0.05285000000000001,False,2.0,3.0,5.0,94.30000305175781,5.0,69,94.3,60.599998474121094,0,-1,1.4063912630081177
69,0,-0.05335000000000001,False,2.0,2.0,5.0,93.30000305175781,5.0,70,93.3,60.599998474121094,0,-1,1.4526073932647705
70,0,-0.05385000000000001,False,2.0,1.0,5.0,92.30000305175781,5.0,71,92.3,60.599998474121094,0,-1,2.0596601963043213
71,1,-0.05435000000000001,False,2.0,2.0,5.0,91.30000305175781,5.0,72,91.3,60.599998474121094,0,-1,1.4526073932647705
72,2,-0.05485,False,1.0,2.0,5.0,90.30000305175781,5.0,73,90.3,60.599998474121094,0,-1,1.3570539951324463
73,0,-0.05535,False,1.0,1.0,5.0,89.30000305175781,5.0,74,89.3,60.599998474121094,0,-1,1.9934210777282715
74,2,-0.055850000000000004,False,0.0,1.0,5.0,88.30000305175781,5.0,75,88.3,60.599998474121094,0,-1,2.3885674476623535
75,4,-0.05655000000000001,False,0.0,1.0,6.0,86.9000015258789,6.0,76,86.89999999999999,60.599998474121094,0,-1,2.085548162460327
76,5,-0.056900000000000006,False,0.0,1.0,5.0,86.19999694824219,5.0,77,86.19999999999999,60.599998474121094,0,-1,2.3885674476623535
77,4,-0.05760000000000001,False,0.0,1.0,6.0,84.80000305175781,6.0,78,84.79999999999998,60.599998474121094,0,-1,2.085548162460327
78,5,-0.057950000000000015,False,0.0,1.0,5.0,84.0999984741211,5.0,79,84.09999999999998,60.599998474121094,0,-1,2.3885674476623535
79,2,-0.05845000000000001,False,0.0,1.0,5.0,83.0999984741211,5.0,80,83.09999999999998,60.599998474121094,0,-1,2.3885674476623535
80,2,-0.05895000000000001,False,0.0,1.0,5.0,82.0999984741211,5.0,81,82.09999999999998,60.599998474121094,0,-1,2.3885674476623535
81,0,-0.05945000000000001,False,0.0,0.0,5.0,81.0999984741211,5.0,82,81.09999999999998,60.599998474121094,0,-1,3.136461019515991
82,5,-0.05980000000000001,False,0.0,0.0,4.0,80.4000015258789,4.0,83,80.39999999999998,60.599998474121094,0,-1,3.632234811782837
83,1,-0.06030000000000001,False,0.0,1.0,4.0,79.4000015258789,4.0,84,79.39999999999998,60.599998474121094,0,-1,3.0101492404937744
84,1,-0.060800000000000014,False,0.0,2.0,4.0,78.4000015258789,4.0,85,78.39999999999998,60.599998474121094,0,-1,2.6322739124298096
85,2,-0.061300000000000014,False,0.0,2.0,4.0,77.4000015258789,4.0,86,77.39999999999998,60.599998474121094,0,-1,2.6322739124298096
86,4,-0.06200000000000002,False,0.0,2.0,5.0,76.0,5.0,87,75.99999999999997,60.599998474121094,0,-1,1.890270471572876
87,0,-0.06250000000000003,False,0.0,1.0,5.0,75.0,5.0,88,74.99999999999997,60.599998474121094,0,-1,2.3885674476623535
88,3,-0.06300000000000001,False,1.0,1.0,5.0,74.0,5.0,89,73.99999999999997,60.599998474121094,0,-1,1.9934210777282715
89,1,-0.06350000000000001,False,1.0,2.0,5.0,73.0,5.0,90,72.99999999999997,60.599998474121094,0,-1,1.3570539951324463
90,3,-0.06400000000000002,False,2.0,2.0,5.0,72.0,5.0,91,71.99999999999997,60.599998474121094,0,-1,1.4526073932647705
91,5,-0.06435000000000002,False,2.0,2.0,4.0,71.30000305175781,4.0,92,71.29999999999997,60.599998474121094,0,-1,2.1219289302825928
92,5,-0.06470000000000002,False,2.0,2.0,3.0,70.5999984741211,3.0,93,70.59999999999997,60.599998474121094,0,-1,1.364286184310913
93,2,-0.06520000000000002,False,1.0,2.0,3.0,69.5999984741211,3.0,94,69.59999999999997,60.599998474121094,0,-1,2.19325590133667
94,0,-0.06570000000000002,False,1.0,1.0,3.0,68.5999984741211,3.0,95,68.59999999999997,60.599998474121094,0,-1,2.198758602142334
