factor,max_energy,survival_pct,mean_nectar
0.5,50,32.0,39.631996154785156
0.75,75,40.0,52.18799621582031
1.0,100,40.0,43.923998260498045
1.25,125,64.0,63.579992599487305
1.5,150,72.0,65.90999435424804
