#{"t_start": 1754214100.0321314, "env_id": "None"}
r,l,t
52.900001,138,392.721306
291.749999,167,392.864436
145.649974,147,392.990551
581.150002,213,393.171219
368.999999,168,393.308344
236.149998,175,393.810801
-47.75,115,393.901884
-105.05,101,393.984959
651.049998,243,394.191147
331.599991,160,394.322266
603.049984,235,394.528454
-105.1,102,394.609528
350.449994,147,395.084237
-105.15,103,395.169314
220.849972,131,395.288423
67.499999,142,395.403527
29.1,158,395.529642
566.699968,240,395.722818
-85.9,118,395.821908
289.349966,171,396.324365
549.299919,212,396.497522
675.999965,218,396.68169
101.55,129,396.795794
-85.7,114,396.896886
505.999984,172,397.035012
165.149999,141,397.546477
611.449934,263,397.763674
-81.85,117,397.861763
310.400005,152,397.98988
311.349965,201,398.15503
-105.0,100,398.241109
496.89999,176,398.753575
516.449953,207,398.93474
-105.0,100,399.02282
691.899997,220,399.210991
-104.95,99,399.29807
278.15,153,399.421182
536.949999,225,399.959672
205.899974,156,400.086787
486.899992,196,400.245932
-85.85,117,400.339017
15.65,107,400.425095
-105.1,102,400.509171
439.249983,163,400.64029
760.949966,273,401.218817
345.65,145,401.336925
-43.200001,136,401.447025
-105.1,102,401.5291
430.0,156,401.659218
-50.55,131,401.76031
364.799999,162,401.894432
-105.05,101,402.360856
344.850001,153,402.494978
118.949999,147,402.610083
436.449981,209,402.787244
-18.700014,144,402.907353
335.349989,141,403.019455
166.099982,136,403.133559
589.799993,200,403.667044
-105.0,100,403.75012
193.0,160,403.87874
155.200001,174,404.022871
402.649989,167,404.167002
208.949997,151,404.292116
27.85,123,404.773555
723.749995,225,405.016776
257.049988,153,405.165971
-104.9,98,405.25116
3.55,109,405.343331
-104.9,98,405.427431
164.55,173,405.573564
268.2,176,406.099041
540.199979,222,406.293218
-104.95,99,406.376294
509.89998,206,406.55946
-28.950002,137,406.672563
426.89998,174,406.825703
454.749977,181,407.326158
417.65,187,407.489306
171.649993,151,407.619425
620.349969,229,407.815603
756.399959,264,408.038806
321.999992,138,408.149907
51.749999,137,408.630344
-85.8,116,408.727432
757.249989,263,408.943629
-105.1,102,409.027706
326.749995,201,409.192856
416.499978,172,409.328979
92.35,133,409.790399
-105.05,101,409.875477
83.599999,106,409.962556
263.999998,138,410.078661
370.85,189,410.234804
457.750002,223,410.419972
-105.05,101,410.508052
203.300003,114,410.959463
500.799995,176,411.107597
198.999996,136,411.221701
-104.95,99,411.301472.990.900002,138,411.4238445.154.699992,112,411.5179210.499999,162,411.654095
258.499999,172,411.796224
636.999986,196,412.296679
-85.85,117,412.393768
-105.0190.750002,191,412706.199998,252,412.71506
224.0,160,1261.499968,-105.0,100,412.9197.04998.799999,136,413.39303.899996,138,413.482758181.5,178,413.633896
-27.5,130,413.750002
-104.95,9946.599967,138250.2,136,413704.4999649.099998,136,414.464.199941.699986,156,414.1291.0991023.799987,300,414.794455
766.549979,233,414.983627
201.399999,150,415.110743
250.34997,135,415.224847
-105.1,102,415.311925
144.699989,124,415.415019
-85.85,117,415.863721
598.3,232,416.049891
-71.55,131,416.161993
354.549992,151,416.2791
143.099994,112,416.370183
242.699991,130,416.471274
87.75,145,416.59738378468.500001,212,417.123868
330.749998,189,417.28001
2.999986,146,417.4051244-85.8,116,417.508218
-105.0,100,417.596298
219.999965,178,417.7554434414.500005,168,418.269911342.549998,177,418.417044
406.699996,168,418.564178
1061.6,300,418.785379570.149958,245,418.89147-10-85.7,114,418.984561142.799962,146,419.06863712.45,131,419.541067
-78.75394.399978,186,41733.999964,258,419.858356
94.449994,129,419.969457
636.599982,234,420.15963
-27.350001,139,420.277737
640.349962,231,420.820231
-55.45,129,420.928329
26.900006,152,421.051441
272.099999,142,421.163543
42.7,126,421.262633
169.499999,110,421.360722
164.449985,163,421584.39999-104.95,99,421.934749.949977,265,422.071369
-20.762.000008,248,422-48.35,1372.049981,199,789.049963,2-104.95,99,422.-9.75001143.649993,127,42570.649994542.449934,199,42-2.45,109,197.999998,122.149999,135,4336.649991,176.849999,181,4-13.25,145,-104.9,98,42107.2,116,440.399998,1154.449992,115,-105.05,101,514.749987,1415.949997,169,328.749974,1224.750001,189-105.05,101,4327.299996,9.699999,138,4249.849994,283.799999,176,4702.350002566.749987,205,42423.150002196.0,160,425.097297.6347.899963,168,425.579229.0196.8,144,425.6989686.794.849969,245,425.8991407.-37.700013,142,426.0182946.499988,300,426.263467
56.849974,133,426.728891
254.399987,204,426.898045
169.449998,109,426.985124
393.24999,197,427.138263
-43.55,131,427.242358
77.599977,134,427.359464
-105.1,102,427.440538
152.050002,197,427.977026
520.699987,200,428.147181
-79.9,118,428.244269
30.100002,146,428.36538
197.599997,124,428.472477
723.69997,222,428.656645
549.350006,265,429.243179
-85.85,117,429.34427
-105.1,102,429.426345
-105.1,102,429.508419
404.8,164,429.647546
-50.500005,138,429.760649
617.84999,253,429.963834
288.350001,167,430.462287
189.999984,138,430.570385
16.099999,150,430.693497
162.150002,129,430.801596
331.849998,163,430.939722
405.499998,200,431.10287
702.899994,276,431.681396
222.299982,158,431.808512
-70.9,118,431.904599
93.549991,117,432.001688
-105.1,102,432.088767
474.099989,174,432.226892
212.29996,158,432.360013
324.349972,185,432.8945
211.149999,171,433.054645
409.750002,183,433.215792
2.699999,138,433.342908
561.399979,234,433.547093
562.700004,240,434.140644
-17.8,116,434.238732
-105.1,102,434.336821
311.449997,141,434.461935
397.95,185,434.631089
225.149995,177,434.779224
117.549973,151,434.90734
237.049998,157,435.42312
147.949992,135,435.53322
377.649998,157,435.664339
373.199999,192,435.827487
-105.15,103,435.909562
17.449993,143,436.02867
105.049979,147,436.147779
-44.85,117,436.590181
629.299966,262,436.804376
61.700001,140,436.922484
28.250002,149,437.041592
254.799999,174,437.186723
716.149995,231,437.374895
541.949934,229,437.904377
235.999971,148,438.035496
832.899937,264,438.256697
89.649991,171,438.399827
4.4,132,438.51293
230.299998,174,439.015387
17.35,133,439.126488
699.799985,220,439.306652
-33.55,131,439.412749
881.699999,300,439.662977
626.099973,258,440.234496
-105.05,101,440.313568
550.149997,203,440.49173
627.299977,222,440.668891
158.05,159,440.792003
164.049997,169,440.941139
8.499996,138,441.426581
383.099963,154,441.555698
86.55,149,441.687818
224.449999,115,441.782905
33.8,124,441.883996
99.649997,155,442.01912
254.399976,160,442.145234
-40.55,131,442.604652
375.599996,212,442.792824
64.899989,118,442.954971
327.94998,151,443.08509
-105.0,100,443.179175
127.7,146,443.296281
487.099998,206,443.47144
526.850006,191,443.982913
791.149921,253,444.192104
478.249989,187,444.345243
-85.95,119,444.445335
573.599995,208,444.61649
552.649987,185,445.14822
216.099999,182,445.294407
139.349999,185,445.446545
466.5,184,445.59468
406.349985,181,445.756828
-45.300001,138,445.863925
520.94999,191,446.369385
579.499965,204,446.54054
161.799973,172,446.683671
390.349996,187,446.841815
708.949957,233,447.036992
1132.799901,300,447.667565
97.750004,149,447.795682
-18.850002,141,447.908785
170.999999,112,447.997866
648.349953,237,448.203053
179.69998,180,448.357193
693.249982,243,448.912698
949.899978,292,449.159923
784.749983,255,449.368112
253.149979,145,449.487221
104.299981,190,449.992681
-105.15,103,450.078758
-105.05,101,450.163836
482.099972,168,450.308968
103.599996,118,450.405056
39.7,146,450.53117
383.099999,152,450.65228
479.099997,234,451.203782
401.849995,173,451.346912
213.250003,131,451.448004
25.049992,155,451.57512
231.99999,182,451.72926
111.200003,158,451.855375
8.300003,160,452.327805
-11.299998,146,452.444911
59.649995,113,452.542
185.7,118,452.639088
240.9,162,452.771208
396.09996,182,452.929352
-15.500011,140,453.041455
371.050002,201,453.578943
77.54997,139,453.698554
579.350001,263,453.918755
383.000004,180,454.064888
9.6,108,454.15497
324.049998,137,454.269073
312.399969,196,454.783541
418.049999,169,454.921667
11.3,134,455.035771
-53.95,119,455.132859
682.249971,237,455.339081
164.499999,124,455.441678
166.7,168,455.578803
264.649986,165,456.085263
599.299997,222,456.263425
-105.1,102,456.347502
298.599994,142,456.468612
-10.100001,140,456.57671
52.899973,138,456.68581
122.4,112,456.775891
189.400001,178,457.282352
288.850011,191,457.440496
559.699999,190,457.59864
178.9,162,457.729759
157.0,140,457.843863
271.099974,174,457.992999
492.2,222,458.552508
527.25,189,458.711652
-105.1,102,458.794728
15.25,161,458.938859
271.049981,159,459.070979
141.95,141,459.188086
107.449994,117,459.631489
208.1,138,459.743591
130.599992,136,459.8637
396.599966,190,460.019842
368.449986,131,460.129943
443.349989,217,460.3031
-34.649999,149,460.430216
42.149999,155,460.912655
337.399971,200,461.073801
186.15,187,461.224939
-67.85,117,461.322027
186.65,147,461.44614
417.399987,214,461.626303
398.950006,179,462.14978
101.099994,112,462.246868
-21.55,131,462.346959
49.55,129,462.462064
-105.15,103,462.544139
667.649935,239,462.740317
-105.0,100,462.829398
83.649974,145,463.30483
164.449983,145,463.420936
-22.6,132,463.543048
319.599998,152,463.674166
767.649966,285,463.902878
-32.250001,137,464.016982
79.399982,128,464.480403
560.349994,219,464.66357
5.4,132,464.780677
358.899999,134,464.892778
507.500002,222,465.168029
479.750002,203,465.348193
-85.75,115,465.827943
185.249998,131,465.942047
58.75,125,466.050146
234.199987,116,466.15324
406.8,166,466.292366
660.650006,251,466.512566
132.199999,168,466.657698
116.2,116,467.104105
207.099995,116,467.201193
167.049992,117,467.299282
17.049998,143,467.41839
312.14998,171,467.554514
181.300001,130,467.666616
-17.85,117,467.767708
601.199971,208,468.305197
376.699996,166,468.436316
183.65,147,468.556426
848.24995,291,468.807654
298.150002,135,468.920757
576.599974,216,469.467254
-105.1,102,469.554333
498.399999,204,469.729493
6.65,107,469.821577
196.1,118,469.917664
712.899986,230,470.101832
283.949998,193,470.259975
187.85,163,470.745417
808.450002,283,470.97963
-85.8,116,471.074717
406.299999,150,471.204835
40.05,147,471.323944
-0.35,147,471.454062
-66.8,116,471.907474
370.399988,170,472.051605
149.799999,168,472.194735
546.899999,188,472.344872
656.749948,231,472.531041
49.8,146,472.656156
-105.1,102,473.110568
65.599984,126,473.21166
158.849999,115,473.307748
39.049999,151,473.427857
-105.05,101,473.509932
539.650008,219,473.686092
88.7,146,473.819213
578.949993,229,474.371219
188.350005,141,474.493331
-1.050001,141,474.610437
647.449986,211,474.7896
348.949987,175,474.928726
285.750001,159,475.062848
171.349995,147,475.536279
146.550001,187,475.685415
68.799999,136,475.803572
-68.85,117,475.899776
-12.749996,149,476.025014
103.449979,131,476.136114
-105.15,103,476.221192
778.749964,295,476.832748
266.749998,139,476.950856
222.149998,125,477.049946
98.150002,141,477.170055
293.899996,142,477.293167
440.850004,191,477.440301
233.9,162,477.935752
-85.75,115,478.03284
-105.05,101,478.116917
398.049986,175,478.261048
190.199996,122,478.367144
115.499998,110,478.457227
246.599976,158,478.581339
-85.75,115,478.674423
-105.05,101,478.762504
1157.699883,300,479.389074
-16.300001,138,479.504179
251.499998,174,479.645307
-105.05,101,479.727381
146.75,145,479.848492
226.750004,189,480.014643
-85.7,114,480.46305
428.24995,199,480.6272
865.399996,266,480.83639
752.949995,247,481.04558
8.349998,137,481.156682
203.249999,167,481.652132
820.29993,258,481.86933
600.049995,223,482.052496
658.550003,207,482.219648
274.999986,156,482.347765
54.249993,141,482.8262
185.700001,174,482.984344
1185.299969,300,483.229568
-105.15,103,483.316647
242.399996,144,483.438758
486.999983,198,483.615918
734.349998,231,484.188439
347.449999,169,484.330569
-14.65,113,484.427657
-44.55,131,484.540262
349.399999,164,484.678388
455.29999,166,484.819516
-105.05,101,485.260918
54.599979,140,485.381028
291.499998,158,485.506141
403.399995,192,485.65828
353.699999,188,485.810418
183.049999,169,485.957552
-105.05,101,486.038626
185.149983,141,486.523383
262.600003,150,486.642492
58.049999,151,486.767606
-105.05,101,486.857687
-105.05,101,486.941764
480.149988,171,487.0909
587.950004,193,487.252047
-67.7,114,487.692447
557.499956,216,487.868607
483.24998,257,488.082802
265.849976,129,488.1909
56.34999,117,488.291992
-29.950002,137,488.402092
155.649963,191,488.934577
287.899991,182,489.101729
626.100001,220,489.294905
257.599996,168,489.441037
477.399969,242,489.640218
140.999989,120,489.745314
-105.1,102,490.185715
72.049996,115,490.2788
491.500003,174,490.42193
-74.8,116,490.523021
-5.6,112,490.616106
305.100003,170,490.765242
-104.95,99,490.844314
619.299962,226,491.396816
449.899957,194,491.559965
-105.1,102,491.647044
303.799989,222,491.837217
272.050002,201,491.999365
-14.400037,152,492.122477
29.4,132,492.578892
-85.9,118,492.67598
261.549983,157,492.802095
75.699999,138,492.912195
387.249986,171,493.054324
233.550004,177,493.201458
-27.400001,140,493.325571
369.549965,223,493.853051
421.799947,240,494.05023
339.299997,150,494.184352
-63.55,131,494.289448
178.399997,176,494.433579
280.749995,117,494.529666
-105.0,100,494.952058
-20.200001,136,495.067163
-9.700016,146,495.186271
536.949919,203,495.350421
517.85,187,495.501558
125.1,118,495.600648
273.249998,143,495.714752
385.749995,213,496.261551
952.499957,292,496.498767
399.949992,191,496.662916
415.499985,200,496.832071
583.149994,241,497.390579
-50.8,116,497.489669
85.8,124,497.592763
248.899995,186,497.749905
761.349958,255,497.958095
-105.1,102,498.037167
899.14997,281,498.635711
396.849997,205,498.797859
93.44999,115,498.891944
8.35,133,498.998041
567.249971,201,499.169196
-85.75,115,499.278296
23.45,131,499.391399
360.849992,175,499.896858
179.949986,125,500.002955
563.000003,206,500.182118
495.349963,179,500.332254
204.299993,114,500.425339
365.649992,241,500.625521
158.299994,114,501.071928
177.049989,125,501.178024
7.45,141,501.294129
871.749954,277,501.52634
653.899997,270,501.773566
589.849993,245,502.32807
-66.8,116,502.42716
57.499999,148,502.551273
686.099967,252,502.754458
485.299996,222,502.939626
218.449955,181,503.439081
78.699991,170,503.580209
564.999993,200,503.745359
727.249957,299,504.000592
537.199984,190,504.157734
73.049986,119,504.250819
132.099996,110,504.79031
524.100004,180,504.947453
462.449998,189,505.102593
516.95,221,505.287763
196.449973,177,505.433895
213.749996,121,505.533986
89.849988,123,505.994405
13.649994,139,506.109509
-14.55,131,506.218609
758.499986,234,506.410784
101.15,117,506.508873
-46.200001,136,506.617972
269.049996,141,506.733077
230.05,159,507.2138
131.39999,144,507.33391
448.149998,169,507.472035
218.000001,172,507.618168
-105.0,100,507.705247
756.149959,279,507.943464
408.599997,200,508.464938
-32.85,117,508.568032
113.75,145,508.696149
253.649991,171,508.835275
388.599994,142,508.956385
538.699986,212,509.121536
84.999988,120,509.583956
111.34997,139,509.696058
535.499958,208,509.872218
237.299993,152,510.000335
1060.199979,300,510.254566
568.35001,251,510.820081
-105.0,100,510.899153
798.649978,271,511.123357
-70.8,116,511.222446
697.49996,240,511.43464
-105.0,100,511.52272
808.049988,249,512.097242
-85.75,115,512.189326
-70.8,116,512.279408
-105.05,101,512.361483
105.499989,182,512.511619
127.949968,155,512.631729
338.499996,222,512.818899
1117.900003,300,513.41344
116.899997,192,513.574587
343.849996,163,513.707707
106.599999,160,513.832821
63.549989,117,513.929909
568.549967,191,514.442376
482.949983,177,514.599519
375.849989,155,514.727635
-105.05,101,514.80971
204.199999,148,514.935825
114.649999,131,515.044924
433.6,152,515.167035
253.649988,155,515.647976
218.549999,133,515.760078
320.55,151,515.881189
419.649992,159,516.013309
192.549997,119,516.116403
190.849999,159,516.247522
585.599945,210,516.42068
137.0,120,516.866085
754.599959,242,517.071271
449.300003,188,517.233419
24.950002,141,517.35261
-105.0,100,517.434772
295.199969,174,517.576005
247.550006,169,518.083467
-36.100001,134,518.197571
-105.05,101,518.278644
572.099976,246,518.477826
201.299997,122,518.575914
448.199984,170,518.721047
546.949963,185,519.234514
689.749958,235,519.430692
247.74995,177,519.577826
31.299999,166,519.725961
172.7,146,519.841066
440.349966,177,519.985197
430.949981,181,520.504669
150.9,142,520.621776
1203.900002,300,520.873004
413.3,176,521.019137
632.199978,218,521.202303
232.35,151,521.679738
-73.75,115,521.770821
-6.900002,136,521.886927
218.199993,176,522.032058
291.399989,150,522.15517
-85.95,119,522.255261
747.300006,236,522.454443
469.949997,191,522.96891
431.049988,185,523.12205
237.799999,148,523.248165
721.099957,242,523.45235
-105.15,103,523.536427
506.649967,197,523.702578
-3.700002,152,524.200031
168.100008,158,524.329148
278.849999,135,524.446255
423.49999,204,524.619414
515.89999,180,524.786564
82.75,125,524.894662
274.95,183,525.482197
1178.699941,300,525.741433
-59.85,117,525.839522
144.550005,167,525.973644
363.149984,159,526.104266
504.449988,181,526.26241
842.799996,260,526.849945
-83.85,117,526.948034
-85.9,118,527.041119
256.549992,181,527.191255
163.349997,123,527.296351
40.249954,141,527.413457
-105.05,101,527.856096
482.649991,187,528.009289
164.049998,137,528.117387
84.699976,138,528.231491
-105.05,101,528.316568
-105.1,102,528.399644
-46.250001,137,528.511746
-42.300001,138,528.62585
244.900001,164,529.115295
-105.05,101,529.205377
233.24998,179,529.356514
480.649994,243,529.558699
7.2,142,529.679808
17.65,155,529.813931
-105.1,102,529.906014
1217.19999,300,530.521574
658.950001,219,530.697735
15.249999,153,530.827853
-105.1,102,530.914932
33.4,132,531.023031
104.55,129,531.500465
292.449987,171,531.652603
534.049998,179,531.80374
4.450001,147,531.922849
219.599998,174,532.065979
595.549997,255,532.277171
833.450003,255,532.840684
996.099957,294,533.083905
203.899992,168,533.233041
85.899988,168,533.372167
478.550008,169,533.513295
182.049997,117,533.956699
-105.05,101,534.041776
514.499996,192,534.197919
264.2,156,534.323032
804.949985,251,534.525216
549.19998,224,534.709384
90.749996,143,535.206836
1160.6,300,535.462069
163.649985,179,535.622214
-21.35,147,535.745326
-44.85,117,535.835408
680.399993,284,536.422446
306.249958,165,536.556568
178.199987,164,536.688688
186.349996,153,536.820808
105.79996,178,536.962938
46.7,146,537.077041
83.299999,166,537.567487
37.65,137,537.678588
196.599998,172,537.825722
158.949996,125,537.932819
150.249992,113,538.025904
-105.1,102,538.110029
408.000005,230,538.310422
232.2,176,538.79988
593.099982,230,538.995058
344.649993,217,539.178225
481.349957,167,539.310345
581.49999,222,539.493512
93.35,195,540.014986
419.099983,188,540.185141
-105.05,101,540.269217
239.650006,183,540.422356
24.549998,167,540.56949
136.8,144,540.684595
526.799993,230,541.237098
816.049994,281,541.48132
636.499998,220,541.667489
450.749986,225,541.856661
301.049998,149,541.987781
181.499992,128,542.459209
311.599985,196,542.625361
535.54999,203,542.794514
240.499978,142,542.915624
258.699994,140,543.03173
-8.800001,148,543.157845
15.8,104,543.241921
391.449976,155,543.743377
-104.95,99,543.824451
90.749991,117,543.924543
146.950006,159,544.060666
-105.05,101,544.140738
475.950003,207,544.310894
60.100005,146,544.436008
462.649977,163,544.918447
952.199967,292,545.179684
265.900007,194,545.33983
-105.0,100,545.420903
205.749991,135,545.534007
65.35,141,545.654116
108.449997,181,546.17559
292.99999,208,546.351751
221.899999,146,546.470859
211.799984,188,546.620995
-105.05,101,546.705072
-105.0,100,546.785649
173.550001,181,547.279097
305.250001,133,547.391199
-19.950001,137,547.509306
559.149996,199,547.672455
162.599984,130,547.77755
349.699966,162,547.90867
215.849999,175,548.055804
-29.75,115,548.509275
-105.0,100,548.589431
94.749989,115,548.685624
-6.85,143,548.803762
45.049999,137,548.914863
365.199968,192,549.069004
118.1,118,549.167092
78.199998,106,549.258175
472.999976,222,549.787657
144.849977,171,549.930787
527.899997,218,550.110951
447.699966,222,550.309132
442.650002,179,550.462271
77.049988,179,550.961725
539.799994,202,551.126875
-6.749999,143,551.246984
-105.2,104,551.33006
218.15,157,551.458176
86.099998,136,551.567276
177.099999,150,551.69239
106.649972,149,552.169824
763.199994,278,552.405038
-85.9,118,552.503127
-8.65,113,552.601217
13.4,132,552.711317
186.499998,168,552.854447
650.749983,221,553.394938
217.2,136,553.511044
252.299999,144,553.62815
26.549977,161,553.758269
615.299998,206,553.930425
-85.85,117,554.025512
541.750001,235,554.565003
36.649995,155,554.700126
104.75,125,554.802218
570.700003,194,554.959361
-85.8,116,555.059452
406.099988,182,555.215594
67.699982,178,555.721054
-45.950005,139,555.842164
657.850016,261,556.066368
498.499927,244,556.268552
443.049989,241,556.47474
712.049983,231,557.021237
237.099999,146,557.142347
171.999998,118,557.241445
101.049986,125,557.34554
371.599998,178,557.494675
360.349999,145,557.619789
131.449998,169,557.758915
22.250001,147,558.230344
624.050005,213,558.41063
228.9,174,558.548891
758.199993,256,558.763096
1150.799998,300,559.372651
22.549984,147,559.497764
-105.05,101,559.574835
-14.8,116,559.66892
111.199999,158,559.80004
247.699999,198,559.957182
158.09998,150,560.082296
-105.15,103,560.162369
-105.1,102,560.695855
310.249963,165,560.827975
633.599961,214,561.008139
258.3,188,561.165282
65.85,163,561.300405
571.799998,226,561.857912
154.999999,152,561.987029
790.350003,281,562.22925
364.599996,164,562.365373
203.6,128,562.466465
-22.700001,138,562.579569
636.049994,213,563.128067
-105.15,103,563.210141
767.899968,256,563.423336
228.949996,201,563.585483
1042.599961,300,563.836712
-22.050003,143,564.304137
423.749981,157,564.433254
386.099995,200,564.601407
593.199999,228,564.789578
-105.2,104,564.872654
-85.85,117,564.965739
579.449998,211,565.49522
-2.6,112,565.603318
259.549982,159,565.729434
672.749993,217,565.903592
532.849986,197,566.067742
510.549963,189,566.230889
334.199972,146,566.710325
383.799993,184,566.853456
128.700001,128,566.957551
22.249998,147,567.086171
457.549992,219,567.278345
301.249996,155,567.402459
698.349991,247,567.970976
329.99997,146,568.095089
294.199997,164,568.229211
342.949998,151,568.353324
-85.85,117,568.452414
98.649999,147,568.573524
269.450002,133,568.693633
371.75,165,569.172369
55.949996,177,569.316499
132.099996,180,569.467637
299.69996,180,569.609766
-105.15,103,569.691841
505.7,232,569.887018
157.050003,179,570.398483
235.1,178,570.542615
551.699964,228,570.747802
587.299986,226,570.926964
-68.9,118,571.034062
125.5,110,571.124144
82.050001,149,571.610586
-105.05,101,571.69166
220.799991,150,571.822779
429.599966,178,571.974918
537.999999,258,572.202124
451.199967,228,572.400305
479.049953,173,572.892753
418.749981,191,573.053899
-105.1,102,573.134973
262.099971,174,573.276102
462.499998,160,573.405219
99.6,148,573.532334
-105.15,103,573.971734
-10.000001,152,574.091843
177.949989,137,574.20895
-20.1,148,574.332062
431.249983,157,574.463181
617.699959,216,574.64835
178.849998,173,574.79248
140.65,107,575.24289
501.199959,210,575.416048
-105.1,102,575.498123
-61.6,132,575.60522
13.349979,161,575.752354
553.09997,228,575.952536
487.899993,172,576.460999
689.100007,234,576.66018
-11.250003,155,576.784292
465.800003,166,576.920416
-85.85,117,577.016503
479.949981,171,577.163637
536.249982,219,577.694625
214.250004,147,577.816736
36.299994,140,577.929839
334.199998,146,578.047947
680.599974,232,578.235118
687.199964,238,578.433297
440.949996,201,578.953771
41.599999,140,579.064872
375.750006,175,579.215182
56.949999,153,579.342412
1229.799969,300,579.590638
396.899975,178,580.104105
112.299987,188,580.258245
308.449999,141,580.371348
285.349999,161,580.505471
322.799999,156,580.630584
33.65,147,580.752695
391.499996,158,581.266163
-5.65,113,581.358246
-105.05,101,581.441322
376.299989,200,581.602468
-105.1,102,581.690548
33.400007,154,581.818665
412.799969,164,581.953788
641.849969,213,582.481268
224.599983,126,582.592369
132.499983,146,582.711477
161.250002,147,582.830586
636.499988,252,583.031768
-105.0,100,583.114844
232.049985,157,583.240959
1179.89993,300,583.859521
20.749999,137,583.977629
402.249993,173,584.130768
187.94999,171,584.270895
136.800004,122,584.370986
709.04998,243,584.936501
369.899994,136,585.08864
-83.9,118,585.201742
893.899959,296,585.445964
455.999996,170,585.591096
252.149966,179,585.732225
-13.6,132,586.230678
105.100002,150,586.357794
393.000002,160,586.492917
175.150001,121,586.604018
484.799981,182,586.752152
603.699976,234,586.941325
-105.1,102,587.380724
707.549996,255,587.590915
-105.05,101,587.671989
523.55,193,587.835641
792.550002,271,588.052839
480.150003,165,588.193967
389.85,163,588.698426
303.550005,159,588.826542
834.999969,300,589.074768
613.349998,205,589.244923
404.04998,187,589.403067
501.899987,192,589.904813
130.999981,148,590.032929
353.000003,184,590.190073
271.999993,178,590.338207
197.199977,158,590.464322
345.899988,190,590.620464
-105.1,102,591.07788
-66.55,131,591.184977
461.950001,231,591.382157
661.999992,242,591.585342
567.349987,195,591.749491
94.5,130,591.861593
-2.4,148,592.352039
5.850001,145,592.473149
882.149998,277,592.706362
100.199998,118,592.810456
-105.15,103,592.893531
125.500001,158,593.027653
891.599962,276,593.59517
450.799999,166,593.731294
512.449994,177,593.875425
595.049972,205,594.034569
189.900006,140,594.150675
210.399992,144,594.64012
476.850002,175,594.784252
436.449998,161,594.921376
330.4,152,595.041486
551.299978,184,595.194625
183.349998,163,595.333751
540.450001,197,595.857227
314.299983,158,595.982342
-9.200002,156,596.116463
680.349987,253,596.334661
528.749992,191,596.493807
648.100002,224,596.692987
116.999995,178,597.192442
699.549998,255,597.40964
346.549988,149,597.533753
-0.70002,148,597.647856
641.699982,220,597.834026
115.000001,154,598.316969
345.949997,207,598.49313
-68.55,131,598.605231
190.050002,119,598.704321
63.749999,137,598.816424
-105.1,102,598.898498
214.749995,133,599.014604
-104.95,99,599.096678
42.100002,152,599.569108
-29.85,117,599.667197
152.649977,145,599.79131
-105.1,102,599.873424
391.099996,216,600.053779
84.749941,151,600.18443
668.849975,257,600.769962
727.099993,250,600.978152
293.400002,138,601.088252
256.149979,135,601.197351
-13.400001,140,601.325468
154.39997,142,601.446578
556.349991,199,601.968052
148.900003,176,602.118189
42.150005,165,602.253312
515.249991,179,602.404449
221.699999,198,602.568599
83.899996,170,602.714731
1112.099917,300,603.327288
245.0,140,603.441392
179.699999,114,603.542484
604.099974,222,603.723649
55.399999,154,603.853768
161.2,136,603.966871
741.499995,240,604.520374
626.349963,259,604.72456
94.549992,115,604.818645
1056.699914,300,605.079883
527.399985,220,605.602358
-105.1,102,605.687435
-105.1,102,605.768509
-105.1,102,605.856589
301.549999,189,606.020738
586.099997,246,606.237936
-85.85,117,606.351039
706.300005,234,606.896535
469.049961,173,607.038665
642.199998,206,607.217828
676.799944,234,607.408
596.449973,203,607.577154
457.45,173,608.083118
123.799998,108,608.174201
398.500003,182,608.315329
-105.2,104,608.398405
183.899998,140,608.510507
471.149957,187,608.658642
27.5,150,608.782754
97.099997,108,609.22916
217.049986,153,609.358278
511.349989,217,609.541444
803.149964,267,609.758726
-105.15,103,609.84088
327.299996,150,609.966108
323.099987,162,610.46256
523.049973,189,610.62771
652.749999,243,610.845909
561.399978,218,611.02307
490.299984,186,611.173207
238.649968,179,611.706692
214.9,142,611.831806
475.750001,193,611.991951
51.05,147,612.125072
137.949983,155,612.253189
549.499965,182,612.402324
212.749974,185,612.911788
50.45,131,613.015883
126.7,126,613.120979
277.899998,174,613.268112
515.3,184,613.421252
-54.65,133,613.524345
751.500006,258,614.094864
618.849967,229,614.278031
-43.65,133,614.383126
238.099997,154,614.516247
300.149997,167,614.651371
385.699999,152,614.769478
308.049988,157,615.24391
324.349996,191,615.404055
226.1,138,615.528168
304.899981,158,615.666294
606.849996,215,615.844456
212.649998,125,615.946548
155.199999,168,616.08067
427.149999,169,616.582127
-85.8,116,616.682218
109.499998,108,616.771299
946.149962,285,617.012519
608.699977,198,617.186676
428.649971,153,617.31179
636.149974,221,617.841272
126.949995,161,617.972392
-5.55,111,618.061472
532.40001,182,618.205603
379.899996,150,618.325713
102.599999,138,618.441321
474.799971,208,618.958791
6.400006,150,619.079902
144.9,162,619.216026
182.599973,144,619.335134
387.249995,161,619.473259
681.249909,215,619.653424
356.749972,181,620.165453
526.899982,228,620.347322
115.899998,106,620.437418
647.799976,228,620.625589
233.399989,148,620.752705
501.549998,237,621.312214
374.599985,160,621.445335
-105.1,102,621.530412
-49.300006,140,621.665536
8.45,131,621.783642
-105.15,103,621.921768
21.75,145,622.056891
366.500003,206,622.228047
233.750001,135,622.706482
173.999995,132,622.815582
518.000009,214,622.993744
