#{"t_start": 1754214100.0321314, "env_id": "None"}
r,l,t
-85.95,119,38.32103
377.299991,204,38.495188
167.95,141,38.609292
-104.85,97,39.049693
168.899997,126,39.158792
-105.0,100,39.241868
-104.95,99,39.326945
219.549996,129,39.433042
-85.65,113,39.526126
260.599992,146,39.646235
172.949999,133,39.757336
195.15,137,39.866436
-104.95,99,40.320849
17.849999,141,40.440958
153.699999,118,40.543051
6.85,103,40.627127
-50.3,126,40.736227
327.350003,191,40.89337
252.749959,145,41.018484
-104.6,92,41.097555
280.550005,157,41.579994
-105.15,103,41.665072
232.049986,129,41.768165
168.649985,127,41.868256
231.949921,195,42.028402
-105.0,100,42.11448
561.399974,248,42.664981
29.249993,145,42.779085
412.149997,169,42.918211
-105.15,103,43.001287
-51.300001,138,43.11439
68.799996,142,43.2355
-105.1,102,43.32258
-104.75,95,43.83.89999429.699994,154,43717.85000-104.95,99,43.95362.44998,175,44.096283
101.749984,117,44.190369
077.849999,135,44.3155.199326.899998,148,44.460.5499164.699989,152,44-105.15,1642.749989,247,45.197285
131.65,151,45.332407
634.149978,201,45.508071
2.65,127,45.614167
103.75,109,45.710255
233.299989,160,45.843376
87.499976,134,45.954477
322.999982,130,46.433913
-105.0,1-24.900002,136-17.8,116,46.621083
257.949998,125,46.722175
256.45,151,46.845288
107.299999,106,46.934369
164.249994,167,47.072505
526.949968,191,47.222806
352.549985,167,47.712359
-104.8,96,47.792432
-85.55,111,47.882514
559.6,180,48.027646
144.949987,175,48.17478
-53.7,114,48.269866
6.899999,134,48.381968
147.649999,119,48.846391
47.449954,137,48.963497
545.750001,245,49.170686
-85.75,115,49.263771
115.699998,104,49.35085
318.299999,164,49.48297
-105.2,104,49.569048
65.999998,138,50.034472
443.799975,182,50.187611
-104.9,98,50.268686
-55.050001,133,50.398803
-104.85,97,50.477875
104.549998,105,50.136.0499273.449996,177,50.725.649993,259,50.787157
481.949962,171,51.281606
220.699978,146,51.403717
144.500003,122,51.50581
271.549999,165,51.63-81.7,5.400003,148,51.769049
137.7,106,51.82.2,17653.449969,1439.199963,160135.9,110,5273.499993372.999997,154,68.599993,121.750002,149,146.499995,314.950003,177,723.799941,274,52.962135
133.599998311.550004,189,5-105.15,10127.699998,12168.649999,13185.299978,1555.4,136,53.7393.999100.849991,123,53.8-104.9,185.54999,123120.549996,1-71.5,130,54.0341.699126.999998,118,54.1215.249986,161,54.233291
-1129.249998,169,54.325.1500-105.15,103,54.453-41.3446.949998,187,54403.20000-85.6,112,55.05767.0261.699999,158,55.185235.6337.099996,140,55.303264
-14.450003,141,55.426376
340.5,170,55.567504
376.849991,147,56.045949
-5.75,115,56.146039
-105.1,102,56.225111
-105.2,104,56.309188
-105.25,105,56.398268
213.45,191,56.555412
181.299999,170,56.687532
78.899993,114,56.786623
-45.8,136,57.270356
288.849985,149,57.393468
-105.05,101,57.476544
-105.0,100,57.556617
74.6,128,57.663714
56.099998,102,57.749792
-104.95,99,57.829865
-50.8,116,57.920948
-105.0,100,58.003023
158.499998,172,58.498473
131.299996,110,58.589556
-104.9,98,58.679638
275.4,132,466.399985,-105.05,101,58.171.15,50.799999,140,5263.849934517.200002,230,5-104.9,98,116.099995,-104.9,98,59.28-29.95,119,59.72659
166.600006,146,59.845699
124.80317.699998,170,59.96162.69165.999999,120,60.0657.849999,147,60.167992
361.59999,130,60.276091
96.599996,104,60.364171
156.749981,153,60.5063
148.499999,154,61.000749
398.249975,185,61.158893
-105.15,103,61.240968
309.699991,162,61.385099
330.799974,180,61.534235
123.09998,148,61.66135
249.849997,133,62.135782
120.75,165,62.278912
398.049991,181,62.435055
301.100003,134,62.547156
-105.15,103,62.633235
18.249998,139,62.750341
332.049944,201,62.922498
72.249999,127,63.384918
-85.95,119,63.483008
609.599978,238,63.676183
53.999998,150,63.803299
76.549999,141,63.913399
276.649986,165,64.050524
204.049983,145,64.173635
-5.4,108,64.624045
155.349976,145,64.741152
103.299978,134,64.854255
-104.95,99,64.93633
30.349999,131,65.053436
-85.7,114,65.152527
398.550001,159,65.286648
-105.0,100,65.368723
-105.0,100,65.836653
373.999994,170,65.977782
-104.9,98,66.062858
58.25,157,66.192977
87.599989,118,66.293068
-14.05,137,66.403168
73.75,145,66.525279
52.849976,127,66.626371
126.85,143,67.095798
-57.4,128,67.199893
-105.15,103,67.289986
94.499991,126,67.391181
-18.900002,136,67.505421
353.949982,133,67.619552
721.95,249,67.828743
-105.05,101,68.336205
-105.1,102,68.424284
-34.150018,147,68.548398
445.299999,170,68.691528
-105.1,102,68.779607
-35.3,126,68.888707
397.899991,166,69.023829
-104.9,98,69.102902
55.6,148,69.587342
20.799999,148,69.709453
-105.1,102,69.796533
15.3,134,69.904631
111.649997,141,70.021738
270.049999,151,70.14485
276.799999,190,70.311001
168.6616.05,229,70.792439-463.749976,211,70.963594
-85.85,117,71.05768
2.449987,141,71.175787
519.599998,220,71.357953
-104.9,98,71.442029
-20.900001,136,71.560137
209.299975,164,72.070601
373.099985,172,72.216734
-105.05,101,72.296807
205.9,142,72.410911
458.049971,191,72.585069
379.89999,152,72.719191
-44.65,113,72.81728
-105.05,101,73.275697
191.1,170,73.419828
92.899999,134,73.534933
32.75,145,73.660047
70.999982,124,73.767144
82.7,136,73.875243
40.449965,349.350001,225,11.5,130,740.75,14531.049954,14377.399977,2078.549982,13626.750018,20386.55,187,74-21.10000438.599998,198,75307.0999870.75,125,75.1333-41.213.849995,129,75.193.9999286.399998,136,75.-105.0,182.249978,131,68.849999,174.599983,134,-105.1,102,265.999957,566.649981,197,-105.05,101206.699997,1147.599979,160-105.05,101,504.999997,-42.650001,141,326.349969,74.049999,157,7-41.75,11579.849999,13498.999967,176,77.218788
-105.05,101,77.30887
81.199971,136,77.430981
-82.85,117,7725.349981-105.15,103,77.6-105.3,-105.05,101,77.-26.4003.35,133,78.171929-1170.499999,154,78.29998.05116.349979,135,78.41-105.2182.500001,176,78.555278
115.649998,151,78.680391
6.499971,152,78.8005
-72.8,116,78.890582
-13.55,131,79.354004
-105.0,100,79.440082
259.599996,148,79.562193
218.499993,172,79.713331
289.999998,208,79.894496
98.099967,162,80.033622
659.399985,264,80.63517
-105.1,102,80.720247
265.399999,164,80.854369
331.049999,167,81.006507
325.200001,162,81.149637
235.099993,180,81.299774
398.049986,165,81.441903
-105.15,103,81.890311
324.650006,165,82.031439
-105.1,102,82.118519
167.049978,197,82.285671
303.799998,148,82.40578
216.600002,162,82.544906
-105.1,102,82.627982
-105.2,104,83.062377
99.0,120,83.162468
-85.95,119,83.26356
152.899989,118,83968.5999788.049983,129,83.67.09996491.449977,171,8356.55,1440.649999,137,83.733988
151.8999455.749999,167,83.245.6499-22.649999,143,84.880.599972,286,84.550731
-2.150018,145,84.672843
-105.15,103,84.758921
15.75,105,84.853006
-105.2,104,84.936082
-105466.199951,192,85-28.35000499.549994,183,85-105.0,10-85.8,116,85.-105.0,182.44999,147,85.768343
-85.9,118,85.867434
297.499999,162,86.007561
303.599997,156,86.146688
79.999992,118,86.24878
569.699969,214,86.779263
283.749991,113,86.86934134677.899976,234,87.058019
464.449971,183,87.210158
-79.6,112,87.299239
716.399993,224,87.482406
-62.8,116,87.922806
544.149985,197,88.079949
65.1,118,88.178038
477.899986,194,88.341187
-75.65,113,88.437274
222.599993,128,88.549376
62.749999,137,88.662479
-53.4,128,89.117893
339.599968,166,89.25702
340.799993,144,89.385136
238.999976,170,89.52126
-35.9,118,89.615346
-104.9,98,89.704427
-47.65,143,89.820532
507.449997,187,90.347012
444.950003,197,90.507157
-16.4,128,90.617257
129.699998,104,90.701333
191.899962,156,90.822444
352.349979,167,90.962571
94.199994,112,91.052653
-104.9,98,91.510069
157.299996,110,91.608158
147.699974,140,91.731271
114.899999,166,91.876405
395.999963,164,92.009524
-46.450001,141,92.125629
-105.1,102,92.210707
-105.0,100,92.288777
-85.65,1131038.599969,-85.6,112,92.82-71.7594.699986,124,92226.249977,137,93.036458
437.149999,213,93.205611-216.499996,186,93.36242.3540.799999,136,93.483280.723.55,129,93.942281
-104.95,99,94.024356
-105364.299981,136,94.-85.55,1377.150004,153116.749969,1-43.65,133,94621.999998,206,94.480771
584.599988,208,94.654929
753.699991,246,95.213438
-44.45,129,95.319534
316.549998,129,95.428137
-104.9,98,95.50821
204.64999,149,95.627318
115.499992,118,95.722405
90.700003,154,95.850521
37.8,144,96.349976
-23.900002,136,96.467083
133.049999,137,96.567.9999-23.40003,150,96.7386.699977,198,96.845427
1647.849957,211,97.00493.841122.699949,300,97.6358.699183.799998,184,97.7141.149-104.95,99,97.85261100395.25,171,97.991742
213.200004,138,98.102843
-105.0,100,98.185919
-104.9,98,98.262989
-105.05,101,98.347066
-104.95,9-50.55,131,98213.05,1183.850002,155122.299993,1499.999997,178-104.85,97,9130.550002,151,99.20985
-104117.15,117,99.283-105.162.800001,124,99.79.849999,185,99.523135
211.649998,135,99.636238
234.799981,158,100.130688
-41.450001,137,100.244792
16.85,143,100.360898
-105.0,100,100.442972
65.699999,142,100.568086
154.899998,424.049977,187,461.249998,1-1.200032,150,19.7,106,100548.69999273.699961,200,10153.949999-105.0,100,101.51-104.9112.7,146,10184.65,147-105.0,100,1184.799979,222.649969,157,1215.499998,178,101.959352
-61.4,179.399986,178,1223.349967,163,102.556895
107.799976,-19.649999,147,1-105.1,102,-105.15,103,-22.100001,1888.999985,294,103.012309
-105.25,105,103-47.30000-105.1,102,103.18883.64204.599993,180,103.331599
-104.95,99,103.76699639-25.450002,139,103.87809-2055.849976,129,103.984193-1-104.85,97,104.061264571.74997,205,104.21940157118.700003,166,104.35553130-85.85,117,104.450618
-8.65,113,104.938061
-85.45,109,105.048162
91.699117.949974,149,105.1427.349969,211,105.337424
-104.95,99,105.421501
-105.2,104,105.505577
12.55,129,105.616678
-105.05,101,105.299.799984.849999,135,106.1-29.950418.349973,165,106.3267.349-85.8,116,106.421915-6-2.45,109,106.52601
77.399998,108,106.620518.199978,174,106.740205
271.9,174,106.886338
-79.8,116,106.987429
119.4,112,107.43884
-105.05,101,107.528933
273.249997,117,107.628126
-105.05,101,107.712286
259.949975,173,107.862519
143.25,135,107.975621
307.7,15952.399991,28638.35,133,10-105.2,10436.249998,141,108.674257
-30.950001,137,108.786359
-104.95,99,108.865431
-104298.599999,146,108213.999999,130,109.059607
-104.8,96,109.133674
97.94999123.999986,140,109-104.95,9-104.95,99,109126.49998379.499995,152,109-19.350009,141,109.896368
-105.05,101,109.981446
-104208.599998,172,110.68.59999-104.95,99,110.206-105108.899987,124,110.-105.25,148.049997,169,1250.35,153,145.0,120,11115.50000454.449984,123,110153.29999130.85,123,111.097-105.436.399986,184,111.413.9499-25.499997,146,111.708.1499-31.999999,142,111.152.949986,153,111.616934
105.849999,151,111.744049
-10556.449982,127,111.8-19.400001,152,112.323576
288.849984,161,112.4597
217.449999,127,112.5698
189.999984,148,112.701921
-105.0,100,112.792003
-105.0,100,112.8720762-105.05,101,112.953149
-40.55,131,113.066252
317.899995,166,113.550693
82.899998,106,113.633768
137.049992,125,113.74086614114.799999,102,113.830947-154.949986,121,113.9216.949457.550001,163,114.0-105.0,324.299999,162,1-62.45,129,280.550002,1709.899959,278,114.782813
256.849987,181,114.929947
276.749998,157,115.059065
79.549994,109,115.151148
-104.8,96,115.233223
138.399981,130,115.34032
-104.9,98,115.420393
-104.85,97,115.499465
-105.05,101,115.947873
-6.45,153,116.069984
131.449999,149,116.195098
104.0,120,116.294692
9.5,130,116.397785
-105.2,104,116.481862
-105.0,100,116.560934
-105.05,101,116.654018
125.349995,129,117.12845
198.299982,170,117.276585
122.949972,145,117.393691
-105.15,103,117.48077
-105.15,103,117.560843
117.899952,172,117.708978
-104.95,99,117.796057
-104.95,99,117.881134
104.299998,132,118.357838
538.19994,204,118.532997
-104.95,99,118.614071
193.149998,189,118.772215
354.499988,160,118.903335
-105.15,103,118.98641
362.149997,149,119.110523
-105.05,101,119.55793
137.399989,118,119.65702
-105.05,101,119.744099
-104.85,97,119.826174
-11.649998,137,119.937275
-105.05,101,120.023353
-105.05,101,1237.749999,549.74998,189,120.257566
101.05,119,120.358659
23.049981,131,120.825083
273.85,123,120.927176
149.799999,116,12372.649988-33.400001,138,1519.94998,1-44.800002,134,31.45,143,12358.19999,-105.0,100,121.3306.09966.849999,135,121.48204.149998,141,121.978131
160.849998,107,122.066211
119.750002,187,122.220352
771.649986,245,122.421535
224.400002,152,122.555657
219.799998,122,122.65674281-105.0,100,122.735821
539.099999,204,123.254293
-69.7,114,123.35038
215.799999,176,123.502518
-104.85,97,123.581591
20.55,129,123.688688
-37.900002,136,123.801791
63.450004,149,123.922901
154.849979,135,124.386322
-3.6,132,124.498424
357.999998,174,124.64756
-85.7,114,124.7526576.-45.200003,134,124.857769.615.3,134,124.965849
155.349974,139,125.082956
-104.95,99,125.1670325-56.45,129,125.6324564383.449986,123,125.73655
-105.05,101,125.820627
-105.05,101,125.904703
-104.34.299998,138,126388.749-12.600016,146,126.1227.449178.199976,160,126.2128.449331.849993,131,126.394.14991145.799987,300,127.00721
61.299984,126,127.115308
125.399983,140,127.235418
-104.95,99,127.319494
-44.95,119,127.415582
-66.5,130,127.529685
32.65,127,127.639785
161.099991,116,128.093198
-104.7,94,128.177274
-105.0,100,128.2593-85.-78.85,117,128.356354.1-104.9,98,128.434624
-105.0,100,128.51630517101.549996,115,128.60795338.600005,178,128.737071
83.999999,134,128.853177
346.799983,174,129.302-38.6246.400007,160,12349.750002,193,129.542804
7.899999,134,129.653905
572.349949,197,129.819055
-104.95115.799993,124,1485.399994,186,130.045261
251.599947,168,130.552723
48.849999,135,130.663824
-46.95,141,130.784934
-16.499998,140,130.910048
330.900002,158,131.037163
-105.05,101,131.118237
-104.9,98,131.197309
-7.000001,138,131.309411
224.249999,151,131.819876
-105.0,100,131.904953
81.699999,138,132.035071
-20.8,116,132.144171
180.0,140,132.2622785217.099988,144,132.392-85.8340.449998,177,132.547537
18.650003,143,133.059002
84.299977,182,133.22115
337.949999,173,133.371286
-69.75,115,133.471377
-85.6,112,133.579476
-105.0,100,133.661551
471.549984,203,133.84772
-104.95,99,134.285118
-51.45,129,134.388212
268.899998,166,134.531342
-69.5,130,134.636437
68.849999,107,134.725519
116.899989,124,134.828612
126.249983,131,134.940714
-105.05,101,135.020787
169.85,143,135.492216
-104.95,99,135.5722892663.049994,111,135.6603693132.949983,189,135.82151672519.199987,186,135.9756473.205.449989,153,136.0997540.111.449984,133,136.2108395.999975,152,136.680297-60.399976,134,136.7893228.811.899999,246,136.992581
128.299998,152,137.124205
29.45,131,137.2283
445.349988,189,137.38244
296.749982,217,137.924934
81.299996,110,138.013014
192.099997,186,138.17316
-105.05,101,138.258237
219.099982,146,138.380348
125.850002,149,138.505462
109.549998,107,138.594543
192.699998,176,139.105293
137.649999,123,139.213392
164.449998,115,139.3094106.-105.0,100,139.391554
469.049999,163,139.52898.0,25.65,147,139.642.1999216.999998,124,139.83.95,16106.899995,156248.999999,16120.999988,160507.499996,18173.049992,13125.200004,152,140.577632
131.249986213.349993,185,1188.75,165,550.749979,1155.699995,108,-105.15,103,137.149992,1101.05,119,141.204.749965,165,141.527496
240.55,165,141.669626
-105.1,102,141.756705
2.65,147,141.884821
106.249999,187,142.044967
-85.95,119,142.152065
-105.15,103,142.244148
-105.05,101,142.365259
-85.8,116,142.82868
299.099983,176,142.975814
110.199986,136,143.089918
162.250001,129,143.194012
-105.1,102,143.277088
162.199996,112,143.365168
70.149997,107,143.456251
574.649904,229,143.644422
340.049998,137,144.114851
182.949996,137,144.230956
314.850005,179,144.378089
426.050003,163,144.51121
228.649988,193,144.674359
97.7,146,144.790465
22.899999,134,145.251884
2.699993,138,145.375997
496.149991,221,145.559164
331.499969,134,145.680274
-104.95,99,145.772358
472.149949,219,145.951521
-105.05,101,146.040602
145.699998,182,146.547062
127.249997,105,146.637145
67.75,137,146.755252
-105.0,100,146.837327
-105.05,101,146.927408
-85.85,117,147.026499
163.799994,110,147.119583
102.399993,126,147.237691
306.999973,162,147.77168
89.199997,106,147.864764
90.049996,111,147.959851
-41.45,129,148.067949
186.59999,178,148.220088
40.799961,136,148.328186
140.299998,128,148.4402882127.399986,130,148.5483290.-105.0,100,148.9907142.15.4,132,149.09788640241.84998,163,149.231172169.799974,160,149.362411
268.799994,142,149.48111.8,171.749993,171,377.250002,1140.399965,140,203.499999,1-5.549999,153,1267.95000166.849969,149,150.354313
-22.100012,136,150.463412
-37.45,129,150.566506
-85.6,112,150.663594
264.099998,124,150.762684
10.65,127,150.866779
272.699992,144,150.989891
-54.45,129,151.456316
208.450001,131,151.566415
287.749999,177,151.719555
399.849999,175,151.862685
167.199996,140,151.973786
2.799999,136,152.079883
-104.95,99,152.159956
366.999998,156,152.674423
530.65001,257,152.906635
163.249954,149,153.025743
-17.000007,140,153.138846
-62.5,130,153.245943
235.199998,134,153.354042
482.749955,173,153.859502
306.399995,120,153.95659
169.849998,107,15437.799996-104.8,96,154.12770.65205.849997,139,15235.949999200.400001,168,15221.4999990.55,109,154.4670-104176.399993,130,154.-36.5500-105.05,101,155.013376.299999,154,155.135662
-66.5263.399975,182,15-105.15,10233.899974,182346.000003,1982.2,162,155.540.4499164.499992,116,155.-18.550015.75,105,155.73921375402.650001,193,156.24867331.550001,169,156.340759-11.3,146,156.450859
176.1283.200001,146,156.55-105.0-105.1,102,156.64372.799991,158,156.775154
82.85,123,156.873243
384.49999,214,157.058412
82.399979,170,157.581888
72.9,142,157.69399
248.249992,167,157.836622
566.999991,234,158.040808
369.19998,156,158.173929
-104.8,96,158.250999
243.099977,174,158.74645
187.749986,135,158.851545
-105.1,102,158.935622
26.5,130,159.038716
-104.95,99,159.121791
-104.9,98,159.204867
318.699988,154,159.32998
63.05,159,159.464103
91.450004,139,159.94284
364.949988,175,160.090975
58.449999,163,160.233104
306.849989,147,160.356216
544.199984,194,160.51436
405.350002,189,160.669501
537.399999,184,161.199984
-104.9,98,161.276052
527.849988,237,161.471231
165.449997,137,161.589338
376.499997,180,161.743478
129.8,144,161.865589
268.899993,142,162.332014
239.849996,173,162.474143
734.549995,255,162.716363
509.549949,177,162.87851
176.65,137,162.995617
-105.1,102,163.076691
235.849984,139,163.556126
-85.55,111,163.644207
499.500006,176,163.784334
2.55,129,163.888429
104.449971,143,164.007537
346.649992,153,164.136655
-104.95,99,164.220731
71.449981,127,164.327829
148.1,158,164.835291
426.449955,169,165.030468
482.149999,189,165.217638
187.949999,121,165.317729
-85.9,118,165.418821
177.99999,136,165.534927
212.699995,114,165.633016
-71.5,130,166.103444
-25.4,128,166.207539
-105.05,101,166.288613
-85.75,115,166.385701
-43.050001,133,166.500806
99.95,121,166.609904
-104.75,95,166.687976
1.6,146,166.804081
162.849993,183,167.309541
424.250003,173,167.457676
203.0,160,167.598804
15.4,132,167.716912
-66.55,131,167.818004
-104.95,99,167.90208
-11.500002,148,168.035201
592.249956,193,168.556684
89.39999,116,168.65177
-35.7,114,168.74986
685.15,221,168.936029
357.050004,189,169.093172
-53.3,126,169.20027
-105.0,100,169.278341
392.149983,183,169.788092
371.599967,170,169.928219
-31.600001,136,170.043324
-4.050012,145,170.157428
160.799999,116,170.248511
-29.75,115,170.342597
164.399996,108,170.437683
89.649992,123,170.542778
146.5,158,171.027219
565.999977,202,171.197374
452.249979,183,171.351514
194.799992,130,171.45661
-105.1,102,171.540687
489.250005,227,171.723853
3.399998,136,172.200286
270.049995,139,172.320395
390.349985,169,172.461524
262.299995,116,172.558612
321.9,192,172.721761
267.849975,151,172.860887
-104.8,96,172.942962
-41.150001,135,173.400378
-66.65,133,173.513481
178.550004,117,173.606565
71.099995,112,173.69965
-85.7,114,173.795738
-85.8,116,173.89683
26.15,137,174.010933
242.649986,129,174.11703
-104.95,99,174.203108
68.899999,134,174.668531
295.849971,169,174.80966
391.949986,167,174.945783
403.950002,157,175.082908
-85.65,113,175.177995
183.449999,171,175.323127
123.949993,119,175.423218
191.399999,164,175.919669
-85.9,118,176.011754
28.75,145,176.133864
-104.8,96,176.214939
255.499992,148,176.334047
-104.65,93,176.408114
-14.800002,134,176.517213
455.749999,183,177.02968
-2.450002,141,177.14678526288.499983,166,17594.89999111.149997,173,177146.55,12452.299999,164144.349988,18115.0,160,177.112.4499543.649935,197,178.75.94999280.549986,175,178924.599843,290,178.500521
-105.15,103,178.589602
675.84999,289,178.831823
117.650002,181,178.98296
523.849998,193,179.497428
529.199999,208,179.674589
352.6,168,179.811868
431.24998,187,179.969149
386.449995,159,180.099268
291.699999,198,180.267421
391.449997,177,180.777885
513.950001,239,180.982071
-85.75,115,181.077157
-28.050001,133,181.193263
72.649993,115,181.284346
292.899965,164,181.419469
28.149991,135,181.886894
-104.9,98,181.964965
-104.95,99,182.052044
179.949999,133,182.165147
-24.050004,137,182.281253
-18.600002,136,182.395356
90.100001,142,182.516467
-105.0,100,182.59754
